"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"
"Afghanistan","66","66","66","65","62","64","67","68","66","63","","","","","","","","","","","","","","","","","",""
"Albania","99","99","98","99","98","99","99","99","99","98","","","","","","","","","","","","","","","","","",""
"Algeria","91","91","91","95","95","95","95","95","95","95","93","","","","","","","","","","","","","","","","",""
"Andorra","99","99","98","97","97","96","98","99","98","97","98","95","93","97","95","91","92","92","90","80","55","","","","","","",""
"Angola","59","52","55","55","55","54","52","46","52","34","41","43","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","95","95","92","99","99","99","98","99","98","94","97","99","99","99","97","97","97","97","","","","","","","","","",""
"Argentina","86","86","92","94","94","94","91","91","94","94","93","91","91","98","98","96","93","83","83","86","49","","","","","","",""
"Armenia","92","94","94","94","93","95","95","95","48","","","","","","","","","","","","","","","","","","",""
"Australia","94","94","94","93","91","91","92","92","92","94","94","94","95","94","95","95","95","95","90","87","82","77","","","","","",""
"Austria","85","90","87","93","98","95","92","89","86","83","83","85","83","86","83","84","82","74","72","74","","","","","","","",""
"Azerbaijan","95","95","97","96","94","93","89","36","","","","","","","","","","","","","","","","","","","",""
"Bahamas","90","94","94","95","96","97","98","98","98","96","94","95","95","93","93","93","94","99","90","78","","","","","","","",""
"Bahrain","99","97","99","98","98","99","99","99","99","97","97","97","98","98","98","97","98","99","97","96","39","","","","","","",""
"Bangladesh","98","98","98","98","97","96","94","87","94","97","","","","","","","","","","","","","","","","","",""
"Barbados","95","90","97","97","94","91","87","91","86","93","85","93","84","92","93","88","66","18","","","","","","","","","",""
"Belarus","9","9","11","9","20","23","22","21","","19","6","","","","","","","","","","","","","","","","",""
"Belgium","97","97","97","98","98","98","98","98","98","98","98","98","98","95","87","87","86","86","86","59","33","6","10","13","16","20","",""
"Belize","96","88","95","94","95","95","98","95","96","97","94","96","98","96","97","96","89","96","","","","","","","","","",""
"Benin","76","76","76","74","74","77","80","75","76","79","75","82","74","35","","","","","","","","","","","","","",""
"Bhutan","97","98","98","99","99","97","97","","","","","","","","","","","","","","","","","","","","",""
"Bolivia (Plurinational State of)","83","84","87","89","85","87","93","95","91","93","88","84","83","85","84","80","77","77","77","","","","","","","","",""
"Bosnia and Herzegovina","62","68","69","78","79","83","87","85","83","80","83","83","82","50","49","","","","","","","","","","","","",""
"Botswana","95","95","95","95","95","95","95","95","","","","","","","","","","","","","","","","","","","",""
"Brazil","83","93","89","96","95","98","95","99","99","99","99","98","97","96","95","94","93","93","90","","","","","","","","",""
"Brunei Darussalam","99","99","99","99","96","99","95","97","95","99","98","99","97","94","92","92","94","","","","","","","","","","",""
"Bulgaria","92","92","92","87","83","95","95","95","91","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","91","91","91","91","91","88","90","91","91","92","93","89","76","","","","","","","","","","","","","","",""
"Burundi","90","91","94","94","95","96","96","96","96","94","92","99","92","87","83","","","","","","","","","","","","",""
"Cabo Verde","99","97","96","94","96","93","94","90","","","","","","","","","","","","","","","","","","","",""
"Cambodia","92","93","93","92","91","86","89","88","86","","","","","","","","","","","","","","","","","","",""
"Cameroon","79","86","85","84","87","89","85","82","84","80","","","","","","","","","","","","","","","","","",""
"Canada","91","91","91","91","91","91","90","89","90","91","92","93","95","93","91","88","88","88","88","88","88","87","84","","","","",""
"Central African Republic","47","47","47","47","47","23","47","47","45","42","","","","","","","","","","","","","","","","","",""
"Chad","41","41","41","42","36","39","40","33","39","24","17","","","","","","","","","","","","","","","","",""
"Chile","95","93","95","97","95","90","90","94","92","94","95","96","94","91","93","96","97","97","91","95","90","90","91","","","","",""
"Colombia","92","92","91","91","90","91","91","85","88","92","92","93","93","93","89","93","69","55","65","64","62","","","","","","",""
"Comoros","91","91","91","91","88","88","89","83","74","38","","","","","","","","","","","","","","","","","",""
"Congo","75","69","71","80","90","85","64","71","74","72","","","","","","","","","","","","","","","","","",""
"Cook Islands","99","99","99","99","99","98","98","93","99","82","","","","","","","","","","","","","","","","","",""
"Costa Rica","94","96","97","92","91","95","90","81","90","87","87","88","88","89","90","87","93","89","92","68","26","","","","","","",""
"Côte d'Ivoire","82","83","85","77","73","75","82","62","85","81","","","","","","","","","","","","","","","","","",""
"Croatia","94","92","93","94","95","96","96","96","97","96","96","96","96","96","95","95","79","","","","","","","","","","",""
"Cuba","99","99","99","99","97","96","96","96","96","96","97","97","97","94","99","99","99","99","99","99","","","","","","","",""
"Cyprus","97","96","96","97","96","96","96","96","96","96","90","90","90","58","58","58","32","32","32","","","","","","","","",""
"Czechia","94","94","96","97","99","99","99","99","99","99","99","99","97","97","98","97","95","","","","","","","","","","",""
"Democratic People's Republic of Korea","97","97","96","96","93","93","32","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","81","81","79","81","80","74","75","74","60","72","","","","","","","","","","","","","","","","","",""
"Denmark","97","98","94","93","94","94","94","91","90","89","88","87","93","93","95","96","96","95","95","95","97","99","93","78","88","82","",""
"Djibouti","84","76","68","84","78","82","81","87","88","89","89","25","","","","","","","","","","","","","","","",""
"Dominica","94","91","99","98","97","96","97","98","98","99","96","93","7","","","","","","","","","","","","","","",""
"Dominican Republic","90","77","73","76","87","75","70","71","81","77","79","70","80","87","80","75","43","20","","","","","","","","","",""
"Ecuador","85","85","83","78","83","87","87","88","90","93","95","95","94","90","86","54","","","","","","","","","","","",""
"Egypt","95","94","95","93","94","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","81","85","93","91","93","92","92","89","89","91","98","99","96","89","90","94","81","","","","","","","","","","",""
"Equatorial Guinea","25","25","19","16","20","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","95","95","95","95","94","94","94","94","95","95","95","","","","","","","","","","","","","","","","",""
"Estonia","92","93","93","93","93","94","94","93","94","95","95","95","88","37","27","","","","","","","","","","","","",""
"Eswatini","90","90","90","90","98","98","95","91","89","89","","","","","","","","","","","","","","","","","",""
"Ethiopia","72","73","73","73","61","59","62","65","62","56","52","47","","","","","","","","","","","","","","","",""
"Fiji","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","","","","","",""
"Finland","91","89","92","97","98","98","99","99","99","98","98","97","98","98","96","96","96","96","96","96","96","96","96","94","93","97","97",""
"France","95","95","95","96","97","98","98","98","97","97","97","97","97","97","97","87","87","86","86","85","79","","","","","","",""
"Gabon","70","75","75","80","70","79","82","75","67","","","","","","","","","","","","","","","","","","",""
"Gambia","93","92","95","97","96","97","98","96","97","99","97","94","95","95","93","91","89","87","90","94","97","","","","","","",""
"Georgia","93","91","92","87","91","96","92","94","67","","","","","","","","","","","","","","","","","","",""
"Germany","92","92","92","92","92","92","93","93","93","94","94","94","93","94","94","93","94","94","94","92","90","88","88","85","82","80","74","60"
"Ghana","97","99","93","88","98","90","92","91","94","94","93","94","84","84","80","80","80","","","","","","","","","","",""
"Greece","99","99","99","99","99","94","94","83","83","83","83","83","84","84","85","86","86","87","87","88","71","54","36","19","2","","",""
"Grenada","96","96","96","92","97","97","97","95","97","99","99","96","91","99","83","97","98","96","33","","","","","","","","",""
"Guatemala","86","82","80","74","73","85","96","85","94","92","95","85","89","87","","","","","","","","","","","","","",""
"Guinea","45","45","45","45","44","50","57","63","64","57","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","88","88","88","88","88","87","87","89","86","80","","","","","","","","","","","","","","","","","",""
"Guyana","95","97","97","95","98","98","97","93","95","98","93","94","93","93","91","90","91","85","","","","","","","","","",""
"Haiti","64","64","64","64","63","68","","","","","","","","","","","","","","","","","","","","","",""
"Honduras","90","89","94","98","98","98","98","97","97","97","92","93","94","97","93","91","94","95","93","","","","","","","","",""
"Hungary","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","","","","","","","",""
"Iceland","91","89","91","92","90","91","89","95","96","96","98","97","97","95","99","97","95","92","98","98","99","99","99","99","99","99","99","99"
"India","89","89","80","45","20","20","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","79","79","79","78","30","4","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","99","99","99","98","","","","","","","","","","","","","","","","","","","","","","","",""
