"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"
"Afghanistan","65","65","65","65","40","","","","","",""
"Albania","98","99","98","99","99","99","99","99","","",""
"Algeria","91","89","61","","","","","","","",""
"Andorra","94","98","92","92","93","","","","","",""
"Angola","67","59","59","58","45","9","","","","",""
"Argentina","88","76","82","82","89","86","41","","","",""
"Armenia","92","94","94","44","","","","","","",""
"Australia","95","94","94","93","91","91","91","91","91","91","91"
"Azerbaijan","95","96","97","94","64","","","","","",""
"Bahamas","90","93","94","95","96","97","37","1","1","3",""
"Bahrain","98","97","99","98","98","99","99","99","99","96","14"
"Bangladesh","97","97","97","48","","","","","","",""
"Barbados","89","89","96","97","90","87","84","81","78","75",""
"Belgium","94","94","94","94","93","93","93","","","",""
"Benin","73","73","73","72","69","70","67","36","","",""
"Bolivia (Plurinational State of)","83","83","87","86","56","","","","","",""
"Botswana","91","89","91","93","95","72","52","","","",""
"Brazil","84","84","84","94","93","94","88","82","24","",""
"Bulgaria","88","91","90","90","92","94","94","94","69","",""
"Burkina Faso","91","91","91","91","91","","","","","",""
"Burundi","90","91","94","94","95","96","96","14","","",""
"Cambodia","84","82","87","68","","","","","","",""
"Cameroon","79","84","84","85","87","88","84","23","","",""
"Canada","81","81","80","80","79","79","73","66","58","50","42"
"Central African Republic","47","47","47","47","47","23","47","8","","",""
"Chile","93","93","93","90","92","79","82","54","","",""
"Colombia","94","91","89","91","89","87","84","46","22","",""
"Congo","73","66","67","80","85","85","10","","","",""
"Costa Rica","96","96","94","94","83","94","89","68","94","48",""
"Côte d'Ivoire","81","82","80","70","2","","","","","",""
"Cyprus","81","81","81","81","","","","","","",""
"Democratic Republic of the Congo","81","79","77","73","61","31","13","9","","",""
"Denmark","96","97","94","91","93","90","93","90","88","86",""
"Djibouti","84","76","68","82","78","82","","","","",""
"Dominican Republic","70","64","30","22","27","","","","","",""
"Ecuador","85","84","84","81","86","90","94","71","17","",""
"El Salvador","75","87","90","98","86","92","94","98","69","",""
"Eritrea","95","95","95","","","","","","","",""
"Eswatini","88","87","90","90","67","","","","","",""
"Ethiopia","67","68","69","68","55","48","30","12","","",""
"Fiji","99","99","99","99","99","87","","","","",""
"Finland","88","85","87","92","92","92","92","92","92","",""
"France","92","92","92","91","89","89","89","89","89","",""
"Gambia","93","90","95","97","96","96","98","95","99","",""
"Georgia","81","80","75","16","","","","","","",""
"Germany","84","84","84","84","84","84","84","86","85","84","68"
"Ghana","96","99","93","88","99","89","43","","","",""
"Greece","96","96","96","96","96","32","32","","","",""
"Guatemala","85","84","81","82","51","24","","","","",""
"Guinea-Bissau","88","88","88","10","","","","","","",""
"Guyana","91","97","92","94","97","96","90","50","","",""
"Haiti","1","","","","","","","","","",""
"Honduras","90","89","94","99","99","99","97","78","","",""
"Hungary","99","99","98","91","93","92","90","84","","",""
"Iceland","90","88","90","91","90","88","86","","","",""
"India","6","","","","","","","","","",""
"Indonesia","8","","","","","","","","","",""
"Iraq","32","33","","","","","","","","",""
"Ireland","90","91","91","92","92","91","91","90","43","",""
"Israel","94","94","93","94","94","94","93","92","","",""
"Italy","92","91","88","89","87","87","82","76","71","66","60"
"Japan","98","99","99","96","98","98","98","98","","",""
"Kazakhstan","95","98","97","74","58","52","37","","","",""
"Kenya","81","71","78","75","81","75","82","85","","",""
"Kiribati","94","91","79","74","57","40","","","","",""
"Kuwait","99","99","99","99","94","99","99","99","98","99","99"
"Kyrgyzstan","92","88","","","","","","","","",""
"Lao People's Democratic Republic","56","56","51","50","45","","","","","",""
"Latvia","82","85","82","82","81","83","55","76","","",""
"Lebanon","82","82","","","","","","","","",""
"Lesotho","93","93","93","29","","","","","","",""
"Liberia","84","86","79","56","45","","","","","",""
"Libya","96","94","96","71","39","","","","","",""
"Lithuania","82","82","82","","","","","","","",""
"Luxembourg","96","95","95","95","95","95","95","86","86","86","86"
"Madagascar","75","74","76","69","72","76","","","","",""
"Malawi","92","88","83","88","87","89","99","","","",""
"Mali","68","65","63","60","57","59","58","56","","",""
"Marshall Islands","67","72","65","75","29","38","46","35","24","49",""
"Mauritania","77","77","73","71","71","1","","","","",""
"Mauritius","96","84","10","","","","","","","",""
"Mexico","88","92","92","93","94","84","99","98","92","46","14"
"Micronesia (Federated States of)","67","65","63","67","64","61","60","63","70","",""
"Mongolia","26","13","","","","","","","","",""
"Morocco","99","99","98","95","90","80","72","23","1","",""
"Mozambique","80","80","80","80","73","45","","","","",""
"Myanmar","91","89","14","","","","","","","",""
"Namibia","61","67","84","81","","","","","","",""
"Nepal","82","80","46","5","","","","","","",""
"Netherlands","93","93","94","94","95","96","96","96","96","96",""
"New Zealand","96","94","93","93","93","93","92","92","89","87",""
"Nicaragua","98","98","98","98","98","98","98","61","","",""
"Niger","79","85","76","49","13","","","","","",""
"Nigeria","57","57","57","36","","","","","","",""
"Niue","99","99","99","99","99","99","99","99","99","99",""
"Norway","94","94","94","93","91","93","93","92","91","91","86"
"Oman","99","99","99","98","98","99","99","99","99","96",""
"Pakistan","79","79","78","80","68","65","","","","",""
"Palau","89","89","98","95","93","93","82","61","45","18","7"
"Panama","92","90","83","82","75","68","62","55","48","",""
"Papua New Guinea","43","44","20","20","","","","","","",""
"Paraguay","94","93","99","90","86","90","82","","","",""
"Peru","82","80","86","90","86","85","89","82","83","9",""
"Philippines","43","36","36","17","35","","","","","",""
"Poland","60","","","","","","","","","",""
"Portugal","98","96","73","","","","","","","",""
"Qatar","98","98","97","95","94","99","92","98","97","99",""
"Republic of Korea","97","97","98","97","","","","","","",""
"Republic of Moldova","94","78","77","71","28","1","","","","",""
"Russian Federation","82","70","35","","","","","","","",""
"Rwanda","97","98","98","98","98","98","98","97","97","",""
"San Marino","58","56","53","","","","","","","",""
"Sao Tome and Principe","95","95","96","96","95","97","","","","",""
"Saudi Arabia","98","98","98","98","98","98","98","98","98","98",""
"Senegal","81","92","93","89","81","","","","","",""
"Serbia","48","","","","","","","","","",""
"Seychelles","16","","","","","","","","","",""
"Sierra Leone","90","90","84","86","83","92","92","75","","",""
"Singapore","82","83","78","75","68","60","52","40","22","17",""
"Slovakia","96","96","96","96","96","98","99","99","99","99",""
"Slovenia","60","55","50","49","","","","","","",""
"Solomon Islands","84","81","87","42","","","","","","",""
"South Africa","73","68","77","85","85","77","75","62","58","10",""
"Spain","93","93","","","","","","","","",""
"Sudan","93","95","93","93","97","30","","","","",""
"Sweden","97","97","97","97","96","97","97","98","98","98","60"
"Switzerland","85","83","80","80","80","75","62","50","37","25","13"
"Togo","88","90","89","86","34","","","","","",""
"Trinidad and Tobago","99","93","91","93","95","80","39","","","",""
"Turkey","97","96","98","97","96","97","97","96","93","97",""
"Uganda","92","90","77","64","60","","","","","",""
"United Arab Emirates","99","96","99","99","99","98","96","95","94","",""
"United Kingdom of Great Britain and Northern Ireland","92","92","92","93","93","93","92","90","89","",""
"United Republic of Tanzania","98","97","96","95","93","80","","","","",""
"United States of America","92","93","93","93","93","92","92","94","93","93","93"
"Uruguay","93","94","94","94","95","93","93","92","91","",""
"Uzbekistan","96","99","99","","","","","","","",""
"Venezuela (Bolivarian Republic of)","","","7","24","","","","","","",""
"Yemen","64","68","71","69","73","73","67","41","","",""
"Zambia","90","94","90","81","77","","","","","",""
"Zimbabwe","89","89","90","87","91","95","21","","","",""
